ActionsExecuted, UniqueStates
1,1
2,2
3,2
4,2
5,3
6,3
7,4
8,4
9,4
10,4
11,5
12,5
13,6
14,6
15,6
16,6
17,7
18,7
19,8
20,8
21,8
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,10
30,11
31,11
32,12
33,13
34,14
35,15
36,15
37,16
38,16
39,16
40,16
41,16
42,16
43,16
44,16
45,17
46,17
47,18
48,19
49,19
50,19
51,19
52,19
53,20
54,20
55,20
56,20
57,20
58,20
59,21
60,22
61,22
62,22
63,22
64,23
65,23
66,23
67,24
68,24
69,24
70,24
71,25
72,26
73,27
74,27
75,27
76,27
77,27
78,27
79,27
80,27
81,27
82,28
83,28
84,28
85,29
86,30
87,30
88,30
89,30
90,30
91,31
92,31
93,31
94,31
95,32
96,32
97,32
98,32
99,32
100,32
