Generation,Original strategy,Short original strategy,simplified strategy,Short simplified strategy,Original Depth,Simplified Depth,Original Complexity,Simple Complexity
0,random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:type-of-action-of:previous-action:,25V5T,random-unexecuted-action-of-type:type-of-action-of:previous-action:,25T,5,3,1,1
0,random-most-executed-action:,Y,random-most-executed-action:,Y,1,1,1,1
0,previous-action:,T,previous-action:,T,1,1,1,1
0,random-unexecuted-action:,1,random-unexecuted-action:,1,1,1,1,1
0,random-unexecuted-action-of-type:type-action:,23,random-unexecuted-action-of-type:type-action:,23,2,2,1,1
0,if-then-else:or:or:equalstype:type-of-action-of:random-action:type-of-action-of:random-most-executed-action:equalstype:type-of-action-of:random-least-executed-action:type-of-action-of:random-least-executed-action:equalstype:type-of-action-of:random-unexecuted-action-of-type:click-action:type-of-action-of:random-action-of-type:hit-key-action:if-then-else:equals:number-of-actions-of-type:type-of-action-of:random-most-executed-action:number-of-actions-of-type:type-of-action-of:random-action:random-action-of-type:type-of-action-of:random-action-of-type-other-than:hit-key-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:drag-action:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:type-of-action-of:random-unexecuted-action:,GSS85U5Y85X5X852B5V6GEK5YK5UV5W625VC25V51,if-then-else:equals:number-of-actions-of-type:type-of-action-of:random-most-executed-action:number-of-actions-of-type:type-of-action-of:random-action:random-action-of-type:type-of-action-of:random-action-of-type-other-than:hit-key-action:random-unexecuted-action-of-type:drag-action:,GEK5YK5UV5W62C,6,5,3,2
0,random-least-executed-action:,X,random-least-executed-action:,X,1,1,1,1
0,random-unexecuted-action-of-type:type-of-action-of:if-then-else:left-clicks-available:random-action-of-type-other-than:hit-key-action:random-most-executed-action:,25GHW6Y,random-unexecuted-action-of-type:type-of-action-of:if-then-else:left-clicks-available:random-action-of-type-other-than:hit-key-action:random-most-executed-action:,25GHW6Y,5,5,2,2
0,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action:,W5W525U,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action:,W5W5U,7,5,1,1
0,random-action-of-type:type-action:,V3,random-action-of-type:type-action:,V3,2,2,1,1
0,random-action-of-type-other-than:type-of-action-of:if-then-else:equals:number-of-actions-of-type:type-of-action-of:random-unexecuted-action:number-of-actions-of-type:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-action:if-then-else:equalstype:type-of-action-of:random-unexecuted-action:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:random-unexecuted-action-of-type:type-of-action-of:random-least-executed-action:,W5GEK51K5XW5W3G8515XW5Y25X,random-action-of-type-other-than:type-of-action-of:if-then-else:equals:number-of-actions-of-type:type-of-action-of:random-unexecuted-action:number-of-actions-of-type:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-action:if-then-else:equalstype:type-of-action-of:random-unexecuted-action:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:random-unexecuted-action-of-type:type-of-action-of:random-least-executed-action:,W5GEK51K5XW5W3G8515XW5Y25X,7,7,3,3
0,random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,252525Y,random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,25Y,7,3,1,1
0,random-action-of-type-other-than:type-action:,W3,random-action-of-type-other-than:type-action:,W3,2,2,1,1
0,random-action:,U,random-action:,U,1,1,1,1
0,random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,25Y,random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,25Y,3,3,1,1
0,random-action-of-type-other-than:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:click-action:,W525VB,random-action-of-type-other-than:click-action:,WB,6,2,1,1
0,random-action-of-type-other-than:click-action:,WB,random-action-of-type-other-than:click-action:,WB,2,2,1,1
