Generation,Original strategy,Short original strategy,simplified strategy,Short simplified strategy,Original Depth,Simplified Depth,Original Complexity,Simple Complexity
0,random-action:,U,random-action:,U,1,1,1,1
0,random-unexecuted-action-of-type:hit-key-action:,26,random-unexecuted-action-of-type:hit-key-action:,26,2,2,1,1
0,previous-action:,T,previous-action:,T,1,1,1,1
0,random-action-of-type-other-than:type-of-action-of:random-action:,W5U,random-action-of-type-other-than:type-of-action-of:random-action:,W5U,3,3,1,1
0,random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,W5Y,random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,W5Y,3,3,1,1
0,random-unexecuted-action:,1,random-unexecuted-action:,1,1,1,1,1
0,random-action-of-type-other-than:type-action:,W3,random-action-of-type-other-than:type-action:,W3,2,2,1,1
0,random-action-of-type:type-of-action-of:random-unexecuted-action:,V51,random-action-of-type:type-of-action-of:random-unexecuted-action:,V51,3,3,1,1
0,random-most-executed-action:,Y,random-most-executed-action:,Y,1,1,1,1
0,if-then-else:and:equalstype:type-action:click-action:or:state-has-not-changed:drag-actions-available:random-unexecuted-action-of-type:type-of-action-of:random-least-executed-action:random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,GA83BS7D25X25Y,random-unexecuted-action-of-type:type-of-action-of:random-most-executed-action:,25Y,4,3,2,1
0,random-action-of-type-other-than:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-most-executed-action:random-action:,W525W5G7YU,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-of-action-of:if-then-else:state-has-not-changed:random-most-executed-action:random-action:,W5W5G7YU,8,6,2,2
0,random-action-of-type:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-unexecuted-action:,V5G4Y1,random-action-of-type:type-of-action-of:if-then-else:type-actions-available:random-most-executed-action:random-unexecuted-action:,V5G4Y1,4,4,2,2
0,random-action-of-type-other-than:type-of-action-of:random-action-of-type:click-action:,W5VB,random-action-of-type-other-than:click-action:,WB,4,2,1,1
0,if-then-else:left-clicks-available:random-unexecuted-action:if-then-else:type-actions-available:random-action:previous-action:,GH1G4UT,if-then-else:left-clicks-available:random-unexecuted-action:if-then-else:type-actions-available:random-action:previous-action:,GH1G4UT,3,3,3,3
0,if-then-else:equals:number-of-actions-of-type:hit-key-action:number-of-actions-of-type:click-action:random-action-of-type-other-than:type-of-action-of:random-action:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:,GEK6KBW5UW5X,if-then-else:equals:number-of-actions-of-type:hit-key-action:number-of-actions-of-type:click-action:random-action-of-type-other-than:type-of-action-of:random-action:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:,GEK6KBW5UW5X,4,4,2,2
0,random-unexecuted-action-of-type:click-action:,2B,random-unexecuted-action-of-type:click-action:,2B,2,2,1,1
0,random-action-of-type:type-of-action-of:if-then-else:equals:number-of-actions-of-type:hit-key-action:number-of-actions-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:previous-action:if-then-else:greater-than:number-of-type-actions:number-of-actions:random-action-of-type:click-action:random-action-of-type:type-action:,V5GEK6K325TGFOJVBV3,random-action-of-type:type-of-action-of:if-then-else:equals:number-of-actions-of-type:hit-key-action:number-of-actions-of-type:type-action:random-unexecuted-action-of-type:type-of-action-of:previous-action:if-then-else:greater-than:number-of-type-actions:number-of-actions:random-action-of-type:click-action:random-action-of-type:type-action:,V5GEK6K325TGFOJVBV3,6,6,3,3
0,random-action-of-type-other-than:click-action:,WB,random-action-of-type-other-than:click-action:,WB,2,2,1,1
0,if-then-else:state-has-not-changed:previous-action:random-action:,G7TU,if-then-else:state-has-not-changed:previous-action:random-action:,G7TU,2,2,2,2
0,if-then-else:greater-than:number-of-type-actions:number-of-unexecuted-left-clicks:previous-action:random-least-executed-action:,GFOQTX,if-then-else:greater-than:number-of-type-actions:number-of-unexecuted-left-clicks:previous-action:random-least-executed-action:,GFOQTX,3,3,2,2
0,random-action-of-type-other-than:type-of-action-of:random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action:,W5V5W5U,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action:,W5W5U,7,5,1,1
0,random-action-of-type:type-action:,V3,random-action-of-type:type-action:,V3,2,2,1,1
0,random-action-of-type-other-than:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type-other-than:hit-key-action:,W52525W6,random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:hit-key-action:,W5W6,8,4,1,1
0,random-action-of-type:click-action:,VB,random-action-of-type:click-action:,VB,2,2,1,1
0,random-least-executed-action:,X,random-least-executed-action:,X,1,1,1,1
0,random-action-of-type:type-of-action-of:random-least-executed-action:,V5X,random-action-of-type:type-of-action-of:random-least-executed-action:,V5X,3,3,1,1
0,if-then-else:greater-than:number-of-actions-of-type:type-of-action-of:random-action-of-type:type-of-action-of:previous-action:number-of-actions-of-type:type-of-action-of:random-action-of-type:type-of-action-of:random-unexecuted-action:random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:if-then-else:drag-actions-available:random-least-executed-action:random-action:if-then-else:not:not:or:and:drag-actions-available:type-actions-available:equals:number-of-unexecuted-left-clicks:number-of-unexecuted-type-actions:random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:previous-action:random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action:,GFK5V5TK5V51V525GDXUGIISAD4EQRV525TV525U,if-then-else:greater-than:number-of-actions-of-type:type-of-action-of:previous-action:number-of-actions-of-type:type-of-action-of:random-unexecuted-action:random-action-of-type:type-of-action-of:if-then-else:drag-actions-available:random-least-executed-action:random-action:if-then-else:or:and:drag-actions-available:type-actions-available:equals:number-of-unexecuted-left-clicks:number-of-unexecuted-type-actions:random-action-of-type:type-of-action-of:previous-action:random-action:,GFK5TK51V5GDXUGSAD4EQRV5TU,7,5,4,4
0,if-then-else:greater-than:number-of-actions-of-type:type-of-action-of:random-action:number-of-actions-of-type:type-of-action-of:previous-action:if-then-else:or:or:drag-actions-available:state-has-not-changed:greater-than:number-of-drag-actions:number-of-unexecuted-type-actions:random-action-of-type:type-of-action-of:random-least-executed-action:if-then-else:not:drag-actions-available:random-action-of-type-other-than:hit-key-action:random-unexecuted-action-of-type:hit-key-action:random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:hit-key-action:,GFK5UK5TGSSD7FLRV5XGIDW626W5W6,if-then-else:greater-than:number-of-actions-of-type:type-of-action-of:random-action:number-of-actions-of-type:type-of-action-of:previous-action:if-then-else:or:or:drag-actions-available:state-has-not-changed:greater-than:number-of-drag-actions:number-of-unexecuted-type-actions:random-action-of-type:type-of-action-of:random-least-executed-action:if-then-else:not:drag-actions-available:random-action-of-type-other-than:hit-key-action:random-unexecuted-action-of-type:hit-key-action:random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:hit-key-action:,GFK5UK5TGSSD7FLRV5XGIDW626W5W6,5,5,4,4
0,random-action-of-type-other-than:hit-key-action:,W6,random-action-of-type-other-than:hit-key-action:,W6,2,2,1,1
0,if-then-else:type-actions-available:random-most-executed-action:random-action-of-type-other-than:click-action:,G4YWB,if-then-else:type-actions-available:random-most-executed-action:random-action-of-type-other-than:click-action:,G4YWB,3,3,2,2
0,if-then-else:or:or:state-has-not-changed:drag-actions-available:greater-than:number-of-unexecuted-left-clicks:number-of-type-actions:random-action-of-type-other-than:type-of-action-of:random-unexecuted-action:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,GSS7DFQOW51W5Y,if-then-else:or:or:state-has-not-changed:drag-actions-available:greater-than:number-of-unexecuted-left-clicks:number-of-type-actions:random-action-of-type-other-than:type-of-action-of:random-unexecuted-action:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,GSS7DFQOW51W5Y,4,4,2,2
0,random-action-of-type:hit-key-action:,V6,random-action-of-type:hit-key-action:,V6,2,2,1,1
0,random-unexecuted-action-of-type:type-action:,23,random-unexecuted-action-of-type:type-action:,23,2,2,1,1
0,if-then-else:equals:number-of-unexecuted-drag-actions:number-of-actions-of-type:hit-key-action:random-unexecuted-action-of-type:hit-key-action:random-least-executed-action:,GEPK626X,if-then-else:equals:number-of-unexecuted-drag-actions:number-of-actions-of-type:hit-key-action:random-unexecuted-action-of-type:hit-key-action:random-least-executed-action:,GEPK626X,4,4,2,2
0,if-then-else:or:drag-actions-available:equalstype:type-action:type-action:random-unexecuted-action-of-type:hit-key-action:random-unexecuted-action-of-type:hit-key-action:,GSD8332626,random-unexecuted-action-of-type:hit-key-action:,26,4,2,2,1
0,random-action-of-type:drag-action:,VC,random-action-of-type:drag-action:,VC,2,2,1,1
0,if-then-else:or:equals:number-of-unexecuted-left-clicks:number-of-drag-actions:left-clicks-available:random-action:previous-action:,GSEQLHUT,if-then-else:or:equals:number-of-unexecuted-left-clicks:number-of-drag-actions:left-clicks-available:random-action:previous-action:,GSEQLHUT,4,4,2,2
0,if-then-else:equals:number-of-unexecuted-drag-actions:random-number:if-then-else:drag-actions-available:random-least-executed-action:previous-action:if-then-else:drag-actions-available:previous-action:random-unexecuted-action:,GEPZGDXTGDT1,if-then-else:equals:number-of-unexecuted-drag-actions:random-number:if-then-else:drag-actions-available:random-least-executed-action:previous-action:if-then-else:drag-actions-available:previous-action:random-unexecuted-action:,GEPZGDXTGDT1,3,3,4,4
0,if-then-else:or:or:type-actions-available:or:equalstype:hit-key-action:drag-action:and:state-has-not-changed:type-actions-available:equals:number-of-actions:number-of-previous-actions:random-most-executed-action:random-unexecuted-action:,GSS4S86CA74EJNY1,if-then-else:or:or:type-actions-available:and:state-has-not-changed:type-actions-available:equals:number-of-actions:number-of-previous-actions:random-most-executed-action:random-unexecuted-action:,GSS4A74EJNY1,6,5,2,2
0,if-then-else:equalstype:type-of-action-of:random-action:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:type-of-action-of:random-unexecuted-action:,G85U5XW5XW51,if-then-else:equalstype:type-of-action-of:random-action:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:random-action-of-type-other-than:type-of-action-of:random-unexecuted-action:,G85U5XW5XW51,4,4,2,2
0,if-then-else:or:equalstype:type-of-action-of:random-action-of-type:type-of-action-of:random-unexecuted-action-of-type:drag-action:type-of-action-of:if-then-else:or:equals:number-of-type-actions:number-of-type-actions:and:drag-actions-available:state-has-not-changed:random-unexecuted-action-of-type:type-of-action-of:random-least-executed-action:random-unexecuted-action-of-type:type-of-action-of:random-least-executed-action:equalstype:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:drag-action:type-of-action-of:random-action-of-type:type-of-action-of:random-action-of-type:click-action:random-unexecuted-action-of-type:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-action-of-type:type-of-action-of:previous-action:random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-unexecuted-action-of-type:type-of-action-of:random-least-executed-action:,GS85V52C5GSEOOAD725X25X85W5WC5V5VB2525V5TV5W525X,if-then-else:or:equalstype:drag-action:type-of-action-of:random-least-executed-action:equalstype:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-action-of-type-other-than:drag-action:click-action:random-unexecuted-action-of-type:type-of-action-of:previous-action:random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-least-executed-action:,GS8C5X85W5WCB25TV5W5X,8,8,3,2
0,if-then-else:state-has-not-changed:if-then-else:type-actions-available:random-most-executed-action:random-least-executed-action:random-action-of-type:click-action:,G7G4YXVB,if-then-else:state-has-not-changed:if-then-else:type-actions-available:random-most-executed-action:random-least-executed-action:random-action-of-type:click-action:,G7G4YXVB,3,3,3,3
0,random-action-of-type-other-than:drag-action:,WC,random-action-of-type-other-than:drag-action:,WC,2,2,1,1
0,random-unexecuted-action-of-type:type-of-action-of:random-action:,25U,random-unexecuted-action-of-type:type-of-action-of:random-action:,25U,3,3,1,1
0,random-action-of-type:type-of-action-of:random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,V5V5W5Y,random-action-of-type:type-of-action-of:random-action-of-type-other-than:type-of-action-of:random-most-executed-action:,V5W5Y,7,5,1,1
