ActionsExecuted, UniqueStates
1,1
2,2
3,2
4,3
5,3
6,3
7,3
8,4
9,4
10,5
11,5
12,6
13,6
14,6
15,7
16,7
17,8
18,8
19,8
20,8
21,8
22,9
23,10
24,10
25,10
26,11
27,12
28,12
29,12
30,12
31,12
32,12
33,13
34,13
35,14
36,15
37,16
38,17
39,18
40,19
41,20
42,20
43,21
44,21
45,21
46,21
47,21
48,21
49,21
50,22
51,23
52,23
53,23
54,23
55,23
56,23
57,24
58,25
59,26
60,26
61,26
62,26
63,27
64,27
65,27
66,27
67,28
68,28
69,28
70,28
71,28
72,29
73,29
74,29
75,29
76,29
77,29
78,30
79,30
80,31
81,31
82,32
83,33
84,33
85,34
86,35
87,35
88,35
89,36
90,36
91,36
92,36
93,36
94,36
95,36
96,36
97,36
98,36
99,36
100,36
