ActionsExecuted, UniqueStates
1,1
2,2
3,3
4,4
5,5
6,5
7,6
8,7
9,8
10,8
11,8
12,8
13,8
14,9
15,10
16,10
17,11
18,11
19,12
20,12
21,12
22,12
23,12
24,13
25,13
26,14
27,14
28,14
29,14
30,14
31,14
32,14
33,14
34,14
35,15
36,16
37,16
38,17
39,17
40,18
41,18
42,18
43,18
44,18
45,18
46,18
47,18
48,18
49,18
50,18
51,18
52,19
53,20
54,21
55,22
56,22
57,22
58,22
59,22
60,22
61,22
62,23
63,23
64,24
65,25
66,26
67,26
68,27
69,27
70,27
71,27
72,28
73,29
74,30
75,30
76,31
77,32
78,32
79,33
80,33
81,34
82,34
83,34
84,35
85,35
86,36
87,37
88,37
89,38
90,39
91,40
92,40
93,40
94,40
95,40
96,40
97,41
98,41
99,41
100,41
