ActionsExecuted, UniqueStates
1,1
2,2
3,2
4,2
5,2
6,3
7,3
8,4
9,4
10,4
11,4
12,4
13,4
14,5
15,5
16,6
17,6
18,7
19,8
20,9
21,10
22,11
23,11
24,11
25,12
26,13
27,14
28,14
29,14
30,14
31,14
32,15
33,15
34,16
35,16
36,17
37,17
38,18
39,18
40,18
41,19
42,19
43,19
44,19
45,20
46,20
47,20
48,21
49,21
50,21
51,21
52,21
53,22
54,22
55,23
56,24
57,25
58,26
59,26
60,27
61,27
62,27
63,28
64,29
65,30
66,30
67,30
68,30
69,30
70,30
71,31
72,31
73,31
74,31
75,31
76,32
77,32
78,32
79,32
80,32
81,33
82,34
83,35
84,36
85,36
86,37
87,37
88,37
89,37
90,38
91,39
92,39
93,40
94,40
95,40
96,40
97,40
98,40
99,41
100,41
